v1_self_s,v1_type,v0_local_s,v0_type,rear_reference_distance,body_center_distance,direction_dot,obb_overlap
0.8000,FORWARD,3.3500,FORWARD,0.1702,0.1651,-0.7117,true
0.7375,FORWARD,3.3875,FORWARD,0.2172,0.2037,-0.6296,true
0.7125,FORWARD,3.3875,FORWARD,0.2367,0.2107,-0.6296,true
0.7000,REVERSE,3.3875,FORWARD,0.2370,0.2108,0.6296,true
0.6875,REVERSE,3.3875,FORWARD,0.2271,0.2063,0.6220,true
0.6625,REVERSE,3.3750,FORWARD,0.2073,0.1849,0.5964,true
0.6125,REVERSE,3.3625,FORWARD,0.1656,0.1520,0.5040,true
0.5625,REVERSE,3.3375,FORWARD,0.1216,0.1111,0.4388,true
0.5125,REVERSE,3.3250,FORWARD,0.0752,0.0930,0.3367,true
0.4625,REVERSE,3.3125,FORWARD,0.0274,0.0964,0.2304,true
0.4375,REVERSE,3.3125,FORWARD,0.0025,0.1105,0.1580,true
0.3000,REVERSE,3.3250,FORWARD,0.1338,0.2120,-0.2810,true
0.2500,REVERSE,3.3625,FORWARD,0.1799,0.2460,-0.5172,true
0.2000,REVERSE,3.4375,FORWARD,0.2175,0.2630,-0.7914,true
0.1500,REVERSE,3.5500,FORWARD,0.2379,0.2554,-0.9714,true
0.1375,REVERSE,,,,,false
